Trope;Frequency
LighterAndSofter;425
ImprovisedWeapon;423
ContinuityNod;421
Hypocrite;420
ItsAllAboutMe;418
AntiVillain;417
InsistentTerminology;416
ShowWithinAShow;416
HowWeGotHere;414
BadBoss;413
BitchInSheepsClothing;412
RefugeInAudacity;409
ExactlyWhatItSaysOnTheTin;408
NothingIsScarier;406
TimeSkip;406
Squick;404
StealthPun;404
MissingMom;403
DistractedByTheSexy;401
AdaptationExpansion;400
AdaptedOut;400
FromBadToWorse;400
MaleGaze;400
DisneyVillainDeath;398
MamaBear;398
PreMortemOneLiner;397
KillEmAll;395
AnachronismStew;394
YouHaveOutlivedYourUsefulness;393
RuleOfThree;392
ShirtlessScene;392
JumpScare;390
AsHimself;389
FaceHeelTurn;389
DamselInDistress;388
HiddenDepths;385
TropeNamer;384
AnAesop;380
DespairEventHorizon;380
BreakTheCutie;379
DemotedToExtra;376
Flashback;374
Fingore;373
ImprobableAimingSkills;372
KillItWithFire;370
ThoseTwoGuys;370
BlackDudeDiesFirst;368
FemmeFatale;366
MercyKill;366
WorthyOpponent;366
CarFu;363
WellIntentionedExtremist;363
DeathGlare;361
AdaptationalVillainy;359
ManChild;359
HappilyMarried;358
MaybeMagicMaybeMundane;356
OohMeAccentsSlipping;354
GilliganCut;353
Leitmotif;353
AsYouKnow;352
MoreDakka;352
ItMakesSenseInContext;351
ReallyGetsAround;350
StalkerWithACrush;350
HeelRealization;349
ADateWithRosiePalms;348
AnyoneCanDie;348
HonorBeforeReason;348
ItsPersonal;348
NeverMyFault;348
WhamShot;347
ImagineSpot;346
Lampshaded;346
FinalBattle;344
CombatPragmatist;343
EvenEvilHasLovedOnes;343
PunctuatedForEmphasis;343
BaitAndSwitch;342
ManipulativeBastard;339
WhereAreTheyNowEpilogue;339
TheEighties;338
RuleOfSymbolism;337
DecoyProtagonist;336
EurekaMoment;333
MrFanservice;333
TheBadGuyWins;333
UnreliableNarrator;333
DullSurprise;332
PoliticallyIncorrectVillain;332
RealityIsUnrealistic;331
YouHaveFailedMe;330
HateSink;329
ShellShockedVeteran;328
AdaptationalHeroism;327
RousingSpeech;327
AdaptationDistillation;326
RaceLift;326
BondOneLiner;325
CoolOldGuy;325
Deconstruction;325
PunnyName;324
AvertedTrope;323
DeathByAdaptation;323
TropeCodifier;323
Subverted;322
EvilLaugh;321
FaceDeathWithDignity;321
GenreSavvy;321
CaptainObvious;320
MadScientist;320
NotQuiteDead;320
SeriousBusiness;320
TakingYouWithMe;319
ScaryBlackMan;317
TranquilFury;317
InvokedTrope;316
RuleOfFunny;316
TheStoic;316
ExtremelyShortTimespan;315
FamousLastWords;315
GreaterScopeVillain;315
NiceHat;315
BewareTheNiceOnes;314
CampGay;314
JerkJock;313
AdaptationNameChange;312
ArmorPiercingQuestion;311
RedemptionEqualsDeath;311
TheOner;311
DoubleEntendre;310
ArtisticLicenseBiology;309
ColdBloodedTorture;308
StuffBlowingUp;308
ThereIsNoKillLikeOverkill;308
BettyAndVeronica;307
NiceJobFixingItVillain;306
LaResistance;305
FateWorseThanDeath;303
GoldDigger;303
DrowningMySorrows;302
CreepyChild;301
PrettyInMink;301
PunchClockVillain;300
ChewingTheScenery;299
AnArmAndALeg;298
InfantImmortality;298
LeaningOnTheFourthWall;298
AmbiguouslyGay;297
AndIMustScream;296
DeliberatelyMonochrome;295
TheDitz;294
CastingGag;293
GunsAkimbo;293
MeetCute;293
SparedByTheAdaptation;292
OnlyKnownByTheirNickname;291
VomitIndiscretionShot;291
ImperialStormtrooperMarksmanshipAcademy;290
ManlyTears;289
Mook;289
ArtisticLicensePhysics;287
BeautyIsNeverTarnished;287
PragmaticAdaptation;287
WarIsHell;287
InNameOnly;286
ParentalAbandonment;285
AttemptedRape;284
KnifeNut;284
MatchCut;284
BarBrawl;283
NotEvenBotheringWithTheAccent;283
TheDogBitesBack;283
AlliterativeName;282
DarkAndTroubledPast;282
FakingTheDead;282
EvilPlan;281
GainaxEnding;281
OneManArmy;280
AndStarring;277
BloodlessCarnage;277
Homage;277
FailedASpotCheck;276
PoorCommunicationKills;276
BadassLongcoat;275
HeterosexualLifePartners;275
TheAtoner;274
EnemyMine;273
