Rank;Title;Year;IMDb Rating
1;TheShawshankRedemption;1994;9,2
2;TheGodfather;1972;9,1
4;TheDarkKnight;2008;9
5;TwelveAngryMen;1957;8,9
6;SchindlersList;1993;8,9
7;TheLordOfTheRingsTheReturnOfTheKing;2003;8,9
8;PulpFiction;1994;8,9
9;TheGoodTheBadAndTheUgly;1966;8,8
11;FightClub;1999;8,8
12;ForrestGump;1994;8,8
13;Inception;2010;8,7
14;TheEmpireStrikesBack;1980);8,7
16;TheMatrix;1999;8,6
17;Goodfellas;1990;8,6
18;OneFlewOverTheCuckoosNest;1975;8,6
19;SevenSamurai;1954;8,6
20;Se7en;1995;8,6
21;CityOfGod;8,6
22;Parasite2019;2019;8,6
23;LifeIsBeautiful;1997;8,6
25;ItsAWonderfulLife;1946;8,6
26;ANewHope;1977;8,6
27;SavingPrivateRyan;8,5
29;TheGreenMile;1999;8,5
30;Interstellar;2014;8,5
31;TheProfessional;1994;8,5
32;TheUsualSuspects;1995;8,5
33;Harakiri;1962;8,5
35;AmericanHistoryX;1998;8,5
36;Terminator2JudgmentDay;1991;8,5
37;BackToTheFuture;1985;8,5
38;ThePianist;2002;8,5
39;ModernTimes;1936;8,5
40;Psycho;1960;8,5
41;Gladiator;2000;8,5
42;CityLights;1931;8,5
43;Intouchables;2011;8,5
44;TheDeparted;2006;8,5
45;Joker2019;2019;8,5
46;Whiplash;2014);8,5
47;ThePrestige;2006;8,5
48;OnceUponATimeInTheWest;1968;8,5
49;Casablanca;1942;8,4
51;RearWindow;1954;8,4
52;CinemaParadiso;1988;8,4
53;Alien;1979;8,4
54;RaidersOfTheLostArk;1981;8,4
55;ApocalypseNow;1979;8,4
56;Memento;2000;8,4
57;TheGreatDictator;1940;8,4
58;NineteenSeventeen;2019;8,4
59;TheLivesOfOthers;2006;8,4
60;DjangoUnchained2012;8,4
61;AvengersInfinityWar;2018;8,4
62;PathsOfGlory1957;8,4
63;TheShining;1980;8,4
65;AvengersEndgame;2019;8,4
68;SunsetBoulevard;1950;8,4
69;DrStrangelove;1964;8,4
70;Oldboy2003;8,4
71;WitnessForTheProsecution;1957;8,4
72;TheDarkKnightRises;2012;8,3
73;OnceUponATimeInAmerica;1984;8,3
74;AlienS;1986;8,3
76;AmericanBeauty;1999;8,3
78;Braveheart;1995;8,3
79;DasBoot;1981;8,3
83;ReturnOfTheJedi;1983;8,3
86;ReservoirDogs;1992;8,3
87;InglouriousBasterds;2009;8,3
88;GoodWillHunting;1997;8,3
89;TwoThousandOneASpaceOdyssey;1968;8,3
91;M;1931;8,3
92;Vertig;1958;8,3
94;EternalSunshineOfTheSpotlessMind;2004;8,3
95;CitizenKane;1941;8,3
96;TheHunt2012;2012;8,3
97;FullMetalJacket;1987;8,3
98;NorthByNorthwest;1959;8,3
99;AClockworkOrange;1971;8,3
100;Snatch;2000;8,2
101;TheKid1921;1921;8,2
102;BicycleThieves;1948;8,2
103;SinginInTheRain;1952;8,2
104;Scarface1983;1983;8,2
105;TaxiDriver;1976;8,2
106;Amelie;2001;8,2
107;LawrenceOfArabia;1962;8,2
109;TheSting;1973;8,2
110;Capernaum;2018;8,2
111;Metropolis;1927;8,2
112;ForAFewDollarsMore;1965;8,2
113;Ikiru;1952;8,2
114;ASeparation;2011;8,2
115;DoubleIndemnity;8,2
117;TheApartment;1960;8,2
118;IndianaJonesAndTheLastCrusade;1989;8,2
119;Incendies;2010;8,2
121;LAConfidential;1997;8,2
122;MontyPythonAndTheHolyGrail;1975;8,2
